iter	RMSE
152	0.4318744486
153	0.4316290072
154	0.4315550897
155	0.4314587527
156	0.4313965699
157	0.4313456989
158	0.4312253334
159	0.4311326854
160	0.4310407963
161	0.4309185049
162	0.43082326
163	0.4307754359
164	0.4307403728
165	0.4306874751
166	0.4306722267
167	0.4305553335
168	0.4305420958
169	0.4305150537
170	0.430376231
171	0.4302560315
172	0.4301589821
173	0.4301132409
174	0.430088745
175	0.429938257
176	0.42974615
177	0.4296075753
178	0.429580611
179	0.429453729
180	0.429405972
181	0.429220539
182	0.429099155
183	0.4290417905
184	0.4289705935
185	0.4289327261
186	0.4288444109
187	0.4286925042
188	0.4286378312
189	0.4285744269
190	0.4283857946
191	0.4283421276
192	0.4281648576
193	0.4281201922
194	0.428069478
195	0.427853266
196	0.4278251876
197	0.4277917923
198	0.4275364691
199	0.4274315821
200	0.4273782909
201	0.4272232935
202	0.4271072555
203	0.4270325571
204	0.4269525303
205	0.4268098638
206	0.4267058472
207	0.4266368389
208	0.4265350256
209	0.4264415149
210	0.4263276792
211	0.4262732929
212	0.426174512
213	0.4260479787
214	0.425984566
215	0.4257823438
216	0.4257189044
217	0.4256233708
218	0.4254400033
219	0.4253515057
220	0.4253222352
221	0.4252301781
222	0.4252255445
223	0.4250380185
224	0.4249047393
225	0.4247837569
226	0.424689604
227	0.4245483469
228	0.4244361061
229	0.4244035605
230	0.4243604074
231	0.424201579
232	0.4241017079
233	0.4240023984
234	0.423981173
235	0.4238899709
236	0.4238291856
237	0.4237034097
238	0.423454473
239	0.4234367538
240	0.4233224372
241	0.4232659222
242	0.4232574371
243	0.423113258
244	0.4229657949
245	0.4228589558
246	0.422679709
247	0.4225165068
248	0.4224757577
249	0.4223521979
250	0.4222469284
251	0.4220683681
252	0.4218274166
253	0.4216151178
254	0.4215185138
255	0.4213606643
256	0.4212372501
257	0.4211600539
258	0.4210235233
259	0.4208581479
260	0.4207175509
261	0.4207050334
262	0.4206504649
263	0.4204288922
264	0.4202642524
265	0.4201716931
266	0.42008407
267	0.4200717629
268	0.4198378987
269	0.4196775367
270	0.4195382474
271	0.4193530508
272	0.4192704337
273	0.4191465884
274	0.4190941189
275	0.4190112405
276	0.4188837792
277	0.418671956
278	0.4185223192
279	0.4184345221
280	0.4183288423
281	0.4182575588
282	0.4181236077
283	0.4180828726
284	0.4178845821
285	0.4177753687
286	0.4177213004
287	0.4176820701
288	0.4176137766
289	0.4174975763
290	0.4173772721
291	0.4173501516
292	0.4171496563
293	0.417042728
294	0.417031415
295	0.4170012869
296	0.4169316608
297	0.4168868946
298	0.4168133362
299	0.416804764
300	0.4167674861
301	0.4166942968
302	0.4166640381
303	0.4164649622
304	0.4163395466
305	0.4161728689
306	0.4160430902
307	0.4159894704
308	0.415910619
309	0.4158818367
310	0.4157953335
311	0.4156800834
312	0.4155685218
313	0.415508733
314	0.4154468838
315	0.4153169528
316	0.4151501551
317	0.4150769277
318	0.414970019
319	0.414844059
320	0.4147183192
321	0.4147054541
322	0.4146651801
323	0.4145923665
324	0.4145215134
325	0.4143539133
326	0.4143407557
327	0.4142140045
328	0.4141655014
329	0.414144627
330	0.4141358335
331	0.414106057
332	0.4141042595
333	0.4140025276
334	0.4138041267
335	0.4137687341
336	0.4136659085
337	0.4135624099
338	0.4134183232
339	0.4133541125
340	0.413184601
341	0.4130100418
342	0.4128989258
343	0.4128297213
344	0.4126979688
345	0.4125646393
346	0.4123744582
347	0.412293398
348	0.4121683428
349	0.4120523015
350	0.411952237
351	0.4118691018
352	0.4117959361
353	0.4117106716
354	0.4116742825
355	0.4116514954
356	0.4116372082
357	0.4116039131
358	0.4115453838
359	0.4114692828
360	0.4112956321
361	0.411270942
362	0.4112169546
363	0.4111717321
364	0.4111117506
365	0.4109222493
366	0.410812202
367	0.4107626323
368	0.4106697346
369	0.4105100329
370	0.4103704863
371	0.4102989192
372	0.4102834463
373	0.4101539499
374	0.4099873916
375	0.4098974021
376	0.4097996841
377	0.409721394
378	0.4095945547
379	0.4095865339
380	0.4094158387
381	0.409257468
382	0.4092062597
383	0.4091179437
384	0.4089009137
385	0.4088709385
386	0.4088349432
387	0.4087955895
388	0.4087239622
389	0.4086782365
390	0.4086537128
391	0.4085413782
392	0.4084301581
393	0.4083343904
394	0.4082479945
395	0.4082020579
396	0.408097994
397	0.4080053223
398	0.4079240986
399	0.4078263212
400	0.4078184127
401	0.4077765687
402	0.4077753731
403	0.4076823637
404	0.4075693004
405	0.4074092363
406	0.407325576
407	0.4072876845
408	0.4071389937
409	0.4070741969
410	0.4069515478
411	0.4069213623
412	0.4067280819
413	0.4066807633
414	0.4066090984
415	0.4065805613
416	0.4064031853
417	0.4062961569
418	0.4062082326
419	0.4061046126
420	0.4060493022
421	0.4059592353
422	0.4058703288
423	0.4058621428
424	0.4057216976
425	0.4056303176
426	0.405607865
427	0.4054756818
428	0.4053259374
429	0.4052285933
430	0.4051409335
431	0.4050935045
432	0.4050336197
433	0.4048624244
434	0.4048085501
435	0.4047253969
436	0.4046011078
437	0.4045295362
438	0.4044692647
439	0.4043229946
440	0.4041630595
441	0.4040294011
442	0.4039975954
443	0.4039642051
444	0.403826286
445	0.403764028
446	0.4036470756
447	0.4035576852
448	0.4033951805
449	0.4032808034
450	0.4032539862
451	0.4031518063
452	0.4030405906
453	0.4029405318
454	0.4027904402
455	0.4027525674
456	0.4026704096
457	0.4025852513
458	0.4025786071
459	0.4025628125
460	0.4024487654
461	0.4023931087
462	0.4023449785
463	0.4022002845
464	0.4020418936
465	0.402034215
466	0.4019246495
467	0.4018329196
468	0.4018130495
469	0.4018103915
470	0.4016688922
471	0.4015855442
472	0.4015427934
473	0.4014525349
474	0.4014360827
475	0.4013617074
476	0.401282046
477	0.4012066023
478	0.4010641482
479	0.4009337927
480	0.4008222627
481	0.400750849
482	0.4006775753
483	0.4005810694
484	0.4004687834
485	0.4002587443
486	0.4002545943
487	0.4000826688
488	0.3999801429
489	0.3998760391
490	0.3998291237
491	0.3997316907
492	0.3996714327
493	0.3995805532
494	0.3994843204
495	0.3993617517
496	0.3992680059
497	0.3991490967
498	0.3990407219
499	0.3989002426
500	0.3988374098
501	0.3987705487
502	0.3985630653
503	0.3984898078
504	0.3983878856
505	0.3982909812
506	0.3982317047
507	0.3981630954
508	0.3980290952
509	0.3979563231
510	0.3978835573
511	0.3976900386
512	0.3976359399
513	0.3975191698
514	0.3973541181
515	0.397265851
516	0.3971398928
517	0.3969554716
518	0.3967947034
519	0.3967175836
520	0.3966132251
521	0.3965463843
522	0.3964089582
523	0.3963225316
524	0.3961840504
525	0.3961123577
526	0.3959310117
527	0.3958143474
528	0.3957693486
529	0.3956855724
530	0.3956277215
531	0.3954723558
532	0.3953438833
533	0.3952480623
534	0.3950982845
535	0.3950364332
536	0.3949097038
537	0.394905352
538	0.3948752396
539	0.3948112517
540	0.3947351019
541	0.3946761683
542	0.3945893067
543	0.3944908084
544	0.3943465899
545	0.3942275159
546	0.3941706244
547	0.3940483831
548	0.3940442531
549	0.3939598935
550	0.3938586619
551	0.393804193
552	0.3937430699
553	0.3936935199
554	0.3936019417
555	0.3935489273
556	0.3934793235
557	0.3933989055
558	0.3933285005
559	0.393266651
560	0.3930834899
561	0.3930167935
562	0.3929368651
563	0.392831153
564	0.3926998314
565	0.3926387339
566	0.3925384967
567	0.3925145512
568	0.3924255982
569	0.3923564645
570	0.392206529
571	0.3922027232
572	0.3921471613
573	0.3919833739
574	0.3918585188
575	0.3918309106
576	0.3916648796
577	0.391579034
578	0.3915287609
579	0.391469895
580	0.3913984548
581	0.3913434697
582	0.391243528
583	0.3911771294
584	0.3911131726
585	0.3910408356
586	0.3908384852
587	0.3907589338
588	0.390648452
589	0.3905896717
590	0.3903926556
591	0.3903295475
592	0.390182272
593	0.3901630362
594	0.3900950237
595	0.38998033
596	0.3899038815
597	0.3898120291
598	0.3896117222
599	0.3894893728
600	0.3893423384
601	0.3892548264
602	0.389178673
603	0.3891105212
604	0.3890204613
605	0.3889582642
606	0.388913335
607	0.3888497976
608	0.3887722918
609	0.388702113
610	0.3886227437
611	0.3885347274
612	0.3884570114
613	0.388298049
614	0.3882004853
615	0.3880629854
616	0.3880007378
617	0.3879137925
618	0.3878793212
619	0.3877799634
620	0.387638162
621	0.3875577924
622	0.3874812755
623	0.3874513855
624	0.3873274918
625	0.3872520188
626	0.3871697149
627	0.3870832663
628	0.3868872744
629	0.3867881844
630	0.3867000321
631	0.3866600583
632	0.3865684911
633	0.3864963518
634	0.38645553
635	0.3862687397
636	0.3861287808
637	0.3860526078
638	0.3859957081
639	0.3859446369
640	0.3858578571
641	0.3857892571
642	0.3857437305
643	0.3856435418
644	0.3854714424
645	0.3853910263
646	0.3853005102
647	0.3851453525
648	0.3850912712
649	0.3850446741
650	0.3849398356
651	0.3848745984
652	0.3847884173
653	0.3846955392
654	0.3845876559
655	0.3844794032
656	0.3844181223
657	0.3843575272
658	0.3843119129
659	0.3842172099
660	0.3840768459
661	0.3840403995
662	0.3839402372
663	0.3838009465
664	0.3837503835
665	0.3837163376
666	0.3835790935
667	0.3835754178
668	0.3834596842
669	0.3834418787
670	0.3833697198
671	0.3832961469
672	0.383101431
673	0.3830347361
674	0.3829566128
675	0.3828322756
676	0.3827919775
677	0.3827349018
678	0.3826911998
679	0.3825881375
680	0.3824987148
681	0.3824097508
682	0.3824086665
683	0.3823801463
684	0.382319599
685	0.3822347409
686	0.3821690787
687	0.3820196588
688	0.3819212903
689	0.3818155543
690	0.3817652735
691	0.3816751326
692	0.3815714846
693	0.3814867902
694	0.3813978429
695	0.3813072788
696	0.3812284306
697	0.3810746797
698	0.38107155
699	0.3810173546
700	0.3809682434
701	0.3808318013
702	0.3807323869
703	0.3807012326
704	0.3806630165
705	0.3805830728
706	0.3804988768
707	0.3804026353
708	0.3803351619
709	0.3803048694
710	0.380221863
711	0.3801658965
712	0.380090389
713	0.3800726293
714	0.3800130033
715	0.3799373501
716	0.3798727646
717	0.3797849693
718	0.3797820288
719	0.3797102447
720	0.3797082864
721	0.3796596223
722	0.3796340136
723	0.3795602378
724	0.3795590959
725	0.3794470929
726	0.3793222214
727	0.3792235282
728	0.3791770749
729	0.3790965901
730	0.3790137033
731	0.3789519177
732	0.3788656042
733	0.378852647
734	0.3787683011
735	0.3786978777
736	0.3786720117
737	0.3786223894
738	0.3786012338
739	0.3785585696
740	0.3784774142
741	0.378399592
742	0.3783233282
743	0.3782608946
744	0.3781769772
745	0.3780620878
746	0.3780227809
747	0.3779944681
748	0.3779050064
749	0.3778426697
750	0.3778060542
751	0.3777711092
752	0.3777538535
753	0.3777250189
754	0.3776584186
755	0.3776050878
756	0.37755923
757	0.3774068252
758	0.3773058429
759	0.3772695666
760	0.3772106116
761	0.377172301
762	0.3771190284
763	0.3770682192
764	0.3769808745
765	0.3769163647
766	0.3768613839
767	0.376771594
768	0.3766795259
769	0.3765873175
